sza_deg,wavelength_nm,vza_deg,raa_deg,rho_I,rho_Q,rho_U,direct_transmittance,irradiance_transmittance,diffuse_dn_hemi,diffuse_dn_dir,sunglint_up_flux_ratio_diag,toa_up_flux_ratio_diag
25.000000,865.000,0.000000,0.000000,6.1325220107e-03,-6.1492157182e-04,-1.5061234693e-19,9.8202221160e-01,9.9073350482e-01,8.7112932239e-03,1.2013633634e-02,3.5234908779e-02,5.5579524525e-03
25.000000,865.000,0.000000,5.000000,6.1325220107e-03,-6.0557953143e-04,1.0678001036e-04,9.8202221160e-01,9.9073350482e-01,8.7112932239e-03,1.2013633634e-02,3.5234908779e-02,5.5579524525e-03
25.000000,865.000,0.000000,10.000000,6.1325220107e-03,-5.7783726341e-04,2.1031556413e-04,9.8202221160e-01,9.9073350482e-01,8.7112932239e-03,1.2013633634e-02,3.5234908779e-02,5.5579524525e-03
25.000000,865.000,0.000000,15.000000,6.1325220107e-03,-5.3253770254e-04,3.0746078591e-04,9.8202221160e-01,9.9073350482e-01,8.7112932239e-03,1.2013633634e-02,3.5234908779e-02,5.5579524525e-03
25.000000,865.000,0.000000,20.000000,6.1325220107e-03,-4.7105725305e-04,3.9526396730e-04,9.8202221160e-01,9.9073350482e-01,8.7112932239e-03,1.2013633634e-02,3.5234908779e-02,5.5579524525e-03
25.000000,865.000,0.000000,25.000000,6.1325220107e-03,-3.9526396730e-04,4.7105725305e-04,9.8202221160e-01,9.9073350482e-01,8.7112932239e-03,1.2013633634e-02,3.5234908779e-02,5.5579524525e-03
25.000000,865.000,0.000000,30.000000,6.1325220107e-03,-3.0746078591e-04,5.3253770254e-04,9.8202221160e-01,9.9073350482e-01,8.7112932239e-03,1.2013633634e-02,3.5234908779e-02,5.5579524525e-03
25.000000,865.000,0.000000,35.000000,6.1325220107e-03,-2.1031556413e-04,5.7783726341e-04,9.8202221160e-01,9.9073350482e-01,8.7112932239e-03,1.2013633634e-02,3.5234908779e-02,5.5579524525e-03
25.000000,865.000,0.000000,40.000000,6.1325220107e-03,-1.0678001036e-04,6.0557953143e-04,9.8202221160e-01,9.9073350482e-01,8.7112932239e-03,1.2013633634e-02,3.5234908779e-02,5.5579524525e-03
25.000000,865.000,0.000000,45.000000,6.1325220107e-03,-1.8715343498e-19,6.1492157182e-04,9.8202221160e-01,9.9073350482e-01,8.7112932239e-03,1.2013633634e-02,3.5234908779e-02,5.5579524525e-03
25.000000,865.000,0.000000,50.000000,6.1325220107e-03,1.0678001036e-04,6.0557953143e-04,9.8202221160e-01,9.9073350482e-01,8.7112932239e-03,1.2013633634e-02,3.5234908779e-02,5.5579524525e-03
