sza_deg,wavelength_nm,vza_deg,raa_deg,rho_I,rho_Q,rho_U,direct_transmittance,irradiance_transmittance,diffuse_dn_hemi,diffuse_dn_dir,sunglint_up_flux_ratio_diag,toa_up_flux_ratio_diag
75.000000,865.000,0.000000,120.000000,1.5751204513e-02,6.5835789132e-03,-1.1403093173e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,125.000000,1.5751204513e-02,4.5034332069e-03,-1.2373081046e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,130.000000,1.5751204513e-02,2.2864529616e-03,-1.2967119112e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,135.000000,1.5751204513e-02,5.6430216807e-18,-1.3167157826e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,140.000000,1.5751204513e-02,-2.2864529616e-03,-1.2967119112e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,145.000000,1.5751204513e-02,-4.5034332069e-03,-1.2373081046e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,150.000000,1.5751204513e-02,-6.5835789132e-03,-1.1403093173e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,155.000000,1.5751204513e-02,-8.4636859055e-03,-1.0086628085e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,160.000000,1.5751204513e-02,-1.0086628085e-02,-8.4636859055e-03,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,165.000000,1.5751204513e-02,-1.1403093173e-02,-6.5835789132e-03,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,170.000000,1.5751204513e-02,-1.2373081046e-02,-4.5034332069e-03,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,175.000000,1.5751204513e-02,-1.2967119112e-02,-2.2864529616e-03,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
