sza_deg,wavelength_nm,vza_deg,raa_deg,rho_I,rho_Q,rho_U,direct_transmittance,irradiance_transmittance,diffuse_dn_hemi,diffuse_dn_dir,sunglint_up_flux_ratio_diag,toa_up_flux_ratio_diag
50.000000,865.000,0.000000,0.000000,7.0206127026e-03,-2.9762609729e-03,-7.2897369477e-19,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,5.000000,7.0206127026e-03,-2.9310448811e-03,5.1682229420e-04,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,10.000000,7.0206127026e-03,-2.7967704738e-03,1.0179412045e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,15.000000,7.0206127026e-03,-2.5775176108e-03,1.4881304864e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,20.000000,7.0206127026e-03,-2.2799481795e-03,1.9131036766e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,25.000000,7.0206127026e-03,-1.9131036766e-03,2.2799481795e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,30.000000,7.0206127026e-03,-1.4881304864e-03,2.5775176108e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,35.000000,7.0206127026e-03,-1.0179412045e-03,2.7967704738e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,40.000000,7.0206127026e-03,-5.1682229420e-04,2.9310448811e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,45.000000,7.0206127026e-03,-9.0952266495e-19,2.9762609729e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,50.000000,7.0206127026e-03,5.1682229420e-04,2.9310448811e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,55.000000,7.0206127026e-03,1.0179412045e-03,2.7967704738e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,60.000000,7.0206127026e-03,1.4881304864e-03,2.5775176108e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,65.000000,7.0206127026e-03,1.9131036766e-03,2.2799481795e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,70.000000,7.0206127026e-03,2.2799481795e-03,1.9131036766e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,75.000000,7.0206127026e-03,2.5775176108e-03,1.4881304864e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,80.000000,7.0206127026e-03,2.7967704738e-03,1.0179412045e-03,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,85.000000,7.0206127026e-03,2.9310448811e-03,5.1682229420e-04,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
50.000000,865.000,0.000000,90.000000,7.0206127026e-03,2.9762609729e-03,1.0924896975e-18,9.7478643003e-01,9.8731062219e-01,1.2524192157e-02,1.3744719580e-02,1.3388321632e-04,4.5127628576e-03
