sza_deg,wavelength_nm,vza_deg,raa_deg,rho_I,rho_Q,rho_U,direct_transmittance,irradiance_transmittance,diffuse_dn_hemi,diffuse_dn_dir,sunglint_up_flux_ratio_diag,toa_up_flux_ratio_diag
25.000000,748.000,0.000000,0.000000,1.1191799238e-02,-1.1101904970e-03,-2.7191824773e-19,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,5.000000,1.1191799238e-02,-1.0933242088e-03,1.9278255667e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,10.000000,1.1191799238e-02,-1.0432378177e-03,3.7970751292e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,15.000000,1.1191799238e-02,-9.6145317348e-04,5.5509524852e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,20.000000,1.1191799238e-02,-8.5045526106e-04,7.1361669589e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,25.000000,1.1191799238e-02,-7.1361669589e-04,8.5045526106e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,30.000000,1.1191799238e-02,-5.5509524852e-04,9.6145317348e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,35.000000,1.1191799238e-02,-3.7970751292e-04,1.0432378177e-03,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,40.000000,1.1191799238e-02,-1.9278255667e-04,1.0933242088e-03,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,45.000000,1.1191799238e-02,-3.3790179101e-19,1.1101904970e-03,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,50.000000,1.1191799238e-02,1.9278255667e-04,1.0933242088e-03,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,55.000000,1.1191799238e-02,3.7970751292e-04,1.0432378177e-03,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,60.000000,1.1191799238e-02,5.5509524852e-04,9.6145317348e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,65.000000,1.1191799238e-02,7.1361669589e-04,8.5045526106e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,70.000000,1.1191799238e-02,8.5045526106e-04,7.1361669589e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,75.000000,1.1191799238e-02,9.6145317348e-04,5.5509524852e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,80.000000,1.1191799238e-02,1.0432378177e-03,3.7970751292e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,85.000000,1.1191799238e-02,1.0933242088e-03,1.9278255667e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,90.000000,1.1191799238e-02,1.1101904970e-03,4.0692322947e-19,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,95.000000,1.1191799238e-02,1.0933242088e-03,-1.9278255667e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,100.000000,1.1191799238e-02,1.0432378177e-03,-3.7970751292e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,105.000000,1.1191799238e-02,9.6145317348e-04,-5.5509524852e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,110.000000,1.1191799238e-02,8.5045526106e-04,-7.1361669589e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
25.000000,748.000,0.000000,115.000000,1.1191799238e-02,7.1361669589e-04,-8.5045526106e-04,9.6486826429e-01,9.8056413874e-01,1.5695874452e-02,2.1976502063e-02,3.4070654477e-02,1.0143214800e-02
