wavelength_nm,a_star_m2_per_mg,segment,source,decision,scientific_status
565,0.0098899999999999995,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
570,0.0087600000000000004,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
575,0.0078600000000000007,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
580,0.0074000000000000003,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
585,0.0072399999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
590,0.0070899999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
595,0.0067999999999999996,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
600,0.0065599999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
605,0.0066,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
610,0.0070600000000000003,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
615,0.0078200000000000006,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
620,0.0083599999999999994,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
625,0.0082900000000000005,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
630,0.0081600000000000006,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
635,0.0083999999999999995,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
640,0.0081099999999999992,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
645,0.0067400000000000003,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
650,0.0064599999999999996,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
655,0.0092200000000000008,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
660,0.013350000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
665,0.016969999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
670,0.01915,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
675,0.019730000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
680,0.01847,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
685,0.01506,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
690,0.01014,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
695,0.0051500000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
700,0.0021099999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
705,0.0010499999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
710,0.00096000000000000002,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
715,0.00080999999999999996,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
720,0.00048999999999999998,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
725,0.00023000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
730,0.00017000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
735,0.00022000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
