family,path,sha256_16,n_angle_decl,wl_min_um,wl_max_um,teta_n_wl
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r75f00v01.mie,7ab109f4715be533,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r75f01v01.mie,a2877204993772de,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r75f02v01.mie,9c78daced7288d37,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r75f05v01.mie,2c5c21980afe5867,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r75f10v01.mie,2641535d455d8926,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r75f20v01.mie,402fb12f3ab77bd1,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r75f30v01.mie,e693158c661e9862,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r75f50v01.mie,822764c381acdf64,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r75f80v01.mie,0614d1fffd55f953,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r75f95v01.mie,d476c8e5a07dbb6f,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r80f00v01.mie,58ec6cccd1a1aa04,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r80f01v01.mie,1cb0b7e9e4648664,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r80f02v01.mie,978fd8dd5845ffb4,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r80f05v01.mie,18468a6a895c9d89,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r80f10v01.mie,013588804f6f1544,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r80f20v01.mie,e611cac2a65ca655,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r80f30v01.mie,efbf3769381349e4,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r80f50v01.mie,1ae8727e42c1312c,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r80f80v01.mie,28e42368710f06d6,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r80f95v01.mie,b5c949e60fc5e5cb,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r85f00v01.mie,30b85e6670a8e9cf,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r85f01v01.mie,4d57b46d14d19bb4,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r85f02v01.mie,936b9689728d69ef,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r85f05v01.mie,d5f6a35cf1574438,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r85f10v01.mie,fc5a08c881d594f5,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r85f20v01.mie,eee323eeedf8140f,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r85f30v01.mie,43df75ce1d8a0e6a,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r85f50v01.mie,a5d5831ecd3c661d,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r85f80v01.mie,042c1040d822920f,631,0.33,1.95,22
