sza_deg,wavelength_nm,vza_deg,raa_deg,rho_I,rho_Q,rho_U,direct_transmittance,irradiance_transmittance,diffuse_dn_hemi,diffuse_dn_dir,sunglint_up_flux_ratio_diag,toa_up_flux_ratio_diag
40.000000,555.000,0.000000,0.000000,4.2230225344e-02,-1.0429040986e-02,-2.5543783324e-18,8.8504312245e-01,9.4483336981e-01,5.9790247361e-02,7.7907133684e-02,1.8735824490e-03,3.2350229457e-02
40.000000,555.000,0.000000,5.000000,4.2230225344e-02,-1.0270600420e-02,1.6492507374e-03,8.8504312245e-01,9.4483336981e-01,5.9790247361e-02,7.7907133684e-02,1.8735824490e-03,3.2350229457e-02
40.000000,555.000,0.000000,10.000000,4.2230225344e-02,-9.8000928568e-03,3.2483898258e-03,8.8504312245e-01,9.4483336981e-01,5.9790247361e-02,7.7907133684e-02,1.8735824490e-03,3.2350229457e-02
40.000000,555.000,0.000000,15.000000,4.2230225344e-02,-9.0318144313e-03,4.7488282330e-03,8.8504312245e-01,9.4483336981e-01,5.9790247361e-02,7.7907133684e-02,1.8735824490e-03,3.2350229457e-02
40.000000,555.000,0.000000,20.000000,4.2230225344e-02,-7.9891088947e-03,6.1049758974e-03,8.8504312245e-01,9.4483336981e-01,5.9790247361e-02,7.7907133684e-02,1.8735824490e-03,3.2350229457e-02
40.000000,555.000,0.000000,25.000000,4.2230225344e-02,-6.7036583269e-03,7.2756269585e-03,8.8504312245e-01,9.4483336981e-01,5.9790247361e-02,7.7907133684e-02,1.8735824490e-03,3.2350229457e-02
40.000000,555.000,0.000000,30.000000,4.2230225344e-02,-5.2145204932e-03,8.2252117760e-03,8.8504312245e-01,9.4483336981e-01,5.9790247361e-02,7.7907133684e-02,1.8735824490e-03,3.2350229457e-02
40.000000,555.000,0.000000,35.000000,4.2230225344e-02,-3.5669420929e-03,8.9248776959e-03,8.8504312245e-01,9.4483336981e-01,5.9790247361e-02,7.7907133684e-02,1.8735824490e-03,3.2350229457e-02
40.000000,555.000,0.000000,40.000000,4.2230225344e-02,-1.8109839621e-03,9.3533657232e-03,8.8504312245e-01,9.4483336981e-01,5.9790247361e-02,7.7907133684e-02,1.8735824490e-03,3.2350229457e-02
40.000000,555.000,0.000000,45.000000,4.2230225344e-02,-2.9517316302e-18,9.4976564660e-03,8.8504312245e-01,9.4483336981e-01,5.9790247361e-02,7.7907133684e-02,1.8735824490e-03,3.2350229457e-02
40.000000,555.000,0.000000,50.000000,4.2230225344e-02,1.8109839621e-03,9.3533657232e-03,8.8504312245e-01,9.4483336981e-01,5.9790247361e-02,7.7907133684e-02,1.8735824490e-03,3.2350229457e-02
40.000000,555.000,0.000000,55.000000,4.2230225344e-02,3.5669420929e-03,8.9248776959e-03,8.8504312245e-01,9.4483336981e-01,5.9790247361e-02,7.7907133684e-02,1.8735824490e-03,3.2350229457e-02
