sza_deg,vza_deg,raa_deg,rep_eI,rep_eP,med_eI,med_eP,q25_eP,slope
25,0,0,7.451278332890054e-08,0.0535670249719743,5.219192403353983e-06,0.03510840600941195,0.006390050036746675,1.9417041419996022
25,0,5,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,10,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,15,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,20,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,25,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,30,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,35,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,40,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,45,7.451278332890054e-08,0.0535670249719743,5.219192403353983e-06,0.03510840600941195,0.006390050036746675,1.9417041419996022
25,0,50,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,55,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,60,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,65,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,70,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,75,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,80,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,85,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,90,7.451278332890054e-08,0.0535670249719743,5.219192403353983e-06,0.03510840600941195,0.006390050036746675,1.9417041419996022
25,0,95,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,100,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,105,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,110,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,115,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,120,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,125,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,130,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,135,7.451278332890054e-08,0.0535670249719743,5.219192403353983e-06,0.03510840600941195,0.006390050036746675,1.9417041419996022
25,0,140,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,145,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,150,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,155,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,160,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,165,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,170,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,175,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,180,7.451278332890054e-08,0.0535670249719743,5.219192403353983e-06,0.03510840600941195,0.006390050036746675,1.9417041419996022
25,0,185,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,190,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,195,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,200,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,205,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,210,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,215,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,220,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,225,7.451278332890054e-08,0.0535670249719743,5.219192403353983e-06,0.03510840600941195,0.006390050036746675,1.9417041419996022
25,0,230,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,235,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,240,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,245,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,250,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,255,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,260,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,265,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,270,7.451278332890054e-08,0.0535670249719743,5.219192403353983e-06,0.03510840600941195,0.006390050036746675,1.9417041419996022
25,0,275,7.451278332890054e-08,0.05356702395697691,5.219192403353983e-06,0.035108406085643,0.0063900507966156055,1.9417041544036258
25,0,280,7.451278332890054e-08,0.05356702379849184,5.219192403353983e-06,0.035108406145986246,0.0063900513738564405,1.9417041758638973
25,0,285,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
25,0,290,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,295,7.451278332890054e-08,0.0535670244853471,5.219192403353983e-06,0.035108406383502946,0.006390053131166994,1.941704162546096
25,0,300,7.451278332890054e-08,0.05356702379798751,5.219192403353983e-06,0.035108408107009964,0.006390052509652836,1.9417042012402477
