component,relative_path,decision,handoff_c_sha256,handoff_python_sha256,paired_handoff_equal,active_c_sha256,active_python_sha256,active_c_python_equal,archived_candidate_c_sha256,archived_candidate_python_sha256,archived_candidate_matches_handoff,accepted_runtime_file,bytes,note
aerosol_snf_opac,T80.mie,accepted_runtime_install,001ea30d417b4a19132de511eac9464d5d639b505b65104afce933a326123188,001ea30d417b4a19132de511eac9464d5d639b505b65104afce933a326123188,True,001ea30d417b4a19132de511eac9464d5d639b505b65104afce933a326123188,001ea30d417b4a19132de511eac9464d5d639b505b65104afce933a326123188,True,,,,True,322422,installed byte-identically in paired C/Python trees
aerosol_snf_opac,T90.mie,accepted_runtime_install,765a61d6594ce84c7fa8f5a806397c9f0f7eaa272f2793d1e38089294606f496,765a61d6594ce84c7fa8f5a806397c9f0f7eaa272f2793d1e38089294606f496,True,765a61d6594ce84c7fa8f5a806397c9f0f7eaa272f2793d1e38089294606f496,765a61d6594ce84c7fa8f5a806397c9f0f7eaa272f2793d1e38089294606f496,True,,,,True,322422,installed byte-identically in paired C/Python trees
aerosol_snf_opac,T95.mie,accepted_runtime_install,4a2776c54d17016b68008b3ffcb2bf5e98bdb0c90b02958cc5f01e5af5545dce,4a2776c54d17016b68008b3ffcb2bf5e98bdb0c90b02958cc5f01e5af5545dce,True,4a2776c54d17016b68008b3ffcb2bf5e98bdb0c90b02958cc5f01e5af5545dce,4a2776c54d17016b68008b3ffcb2bf5e98bdb0c90b02958cc5f01e5af5545dce,True,,,,True,322422,installed byte-identically in paired C/Python trees
aerosol_ahmad2010_accurt,aerosol_ahmad2010_accurt_mie/r30f00v01.mie,accepted_runtime_install,acbd14558546fd15b6ff1bdef89ead166a6355da68f48260528251260b134a16,acbd14558546fd15b6ff1bdef89ead166a6355da68f48260528251260b134a16,True,acbd14558546fd15b6ff1bdef89ead166a6355da68f48260528251260b134a16,acbd14558546fd15b6ff1bdef89ead166a6355da68f48260528251260b134a16,True,,,,True,322422,installed byte-identically in paired C/Python trees
aerosol_ahmad2010_accurt,aerosol_ahmad2010_accurt_mie/r30f01v01.mie,accepted_runtime_install,3b79154f0023602f9c378615279a758b7c82b169e64511dc132ef65c15531f6b,3b79154f0023602f9c378615279a758b7c82b169e64511dc132ef65c15531f6b,True,3b79154f0023602f9c378615279a758b7c82b169e64511dc132ef65c15531f6b,3b79154f0023602f9c378615279a758b7c82b169e64511dc132ef65c15531f6b,True,,,,True,322422,installed byte-identically in paired C/Python trees
aerosol_ahmad2010_accurt,aerosol_ahmad2010_accurt_mie/r30f02v01.mie,accepted_runtime_install,19a8375e34daa27017f6b11bbd4558c10c5a4c881a45a1639f573affc528ed29,19a8375e34daa27017f6b11bbd4558c10c5a4c881a45a1639f573affc528ed29,True,19a8375e34daa27017f6b11bbd4558c10c5a4c881a45a1639f573affc528ed29,19a8375e34daa27017f6b11bbd4558c10c5a4c881a45a1639f573affc528ed29,True,,,,True,322422,installed byte-identically in paired C/Python trees
aerosol_ahmad2010_accurt,aerosol_ahmad2010_accurt_mie/r30f05v01.mie,accepted_runtime_install,0be8ee26aa17990da88bb9a2a16b1df9d69648e870c9e1f5a40e0d44c5c35f07,0be8ee26aa17990da88bb9a2a16b1df9d69648e870c9e1f5a40e0d44c5c35f07,True,0be8ee26aa17990da88bb9a2a16b1df9d69648e870c9e1f5a40e0d44c5c35f07,0be8ee26aa17990da88bb9a2a16b1df9d69648e870c9e1f5a40e0d44c5c35f07,True,,,,True,322422,installed byte-identically in paired C/Python trees
aerosol_ahmad2010_accurt,aerosol_ahmad2010_accurt_mie/r30f10v01.mie,accepted_runtime_install,9b9852c7e531ace41599c37a79e59d04869410d5299a5130ec9186e0d1689cdf,9b9852c7e531ace41599c37a79e59d04869410d5299a5130ec9186e0d1689cdf,True,9b9852c7e531ace41599c37a79e59d04869410d5299a5130ec9186e0d1689cdf,9b9852c7e531ace41599c37a79e59d04869410d5299a5130ec9186e0d1689cdf,True,,,,True,322422,installed byte-identically in paired C/Python trees
aerosol_ahmad2010_accurt,aerosol_ahmad2010_accurt_mie/r30f20v01.mie,accepted_runtime_install,e5371aed7fe60ce481f2433bda6ac5e4be8e0a0870c24e0565cc48e2311eca79,e5371aed7fe60ce481f2433bda6ac5e4be8e0a0870c24e0565cc48e2311eca79,True,e5371aed7fe60ce481f2433bda6ac5e4be8e0a0870c24e0565cc48e2311eca79,e5371aed7fe60ce481f2433bda6ac5e4be8e0a0870c24e0565cc48e2311eca79,True,,,,True,322422,installed byte-identically in paired C/Python trees
aerosol_ahmad2010_accurt,aerosol_ahmad2010_accurt_mie/r30f30v01.mie,accepted_runtime_install,c95f9744ef9cbc4bc8a2b3059224317c0fcad96797eec15f82c7184b360c96bf,c95f9744ef9cbc4bc8a2b3059224317c0fcad96797eec15f82c7184b360c96bf,True,c95f9744ef9cbc4bc8a2b3059224317c0fcad96797eec15f82c7184b360c96bf,c95f9744ef9cbc4bc8a2b3059224317c0fcad96797eec15f82c7184b360c96bf,True,,,,True,322422,installed byte-identically in paired C/Python trees
