! OCRT CCRR chlorophyll absorption coefficient table
! Canonical model: Morel (1988) normalized A_chl(lambda) with the
! Morel-Maritorena / HydroLight classic Case-1 closure:
!   a_p(lambda) = Aphi(lambda) * Chl^Ephi(lambda)
!   Aphi(lambda) = 0.06 * A_chl_normalized(lambda)  [m^-1 at Chl=1]
!   Ephi(lambda) = 0.65
! Input Chl unit: mg m^-3. Output a_p unit: m^-1.
! Source spectrum: apstarchl_morel1988_normalized_user_supplied.txt
! The source is normalized to 1 at 440 nm and identifies the spectral
! shape as Morel (1988, Fig. 10c; Prieur and Sathyendranath 1981).
! Source warning retained: 300-350 and 700-1000 nm are extrapolated
! and may be unrealistic. OCRT uses linear interpolation and nearest-edge
! extrapolation outside the tabulated range.
!
! Legacy OCRT five-column interface:
! wavelength_nm  Ap_unused  Ep_unused  Aphi  Ephi
! Ap_unused and Ep_unused are explicit zero placeholders; current OCRT
! consumes only Aphi and Ephi in rt_iop_ccrr_pigment_eval().
  765.0  0.000000000  0.000000000  0.000000000  0.650000000
  770.0  0.000000000  0.000000000  0.000000000  0.650000000
  775.0  0.000000000  0.000000000  0.000000000  0.650000000
  780.0  0.000000000  0.000000000  0.000000000  0.650000000
  785.0  0.000000000  0.000000000  0.000000000  0.650000000
  790.0  0.000000000  0.000000000  0.000000000  0.650000000
  795.0  0.000000000  0.000000000  0.000000000  0.650000000
  800.0  0.000000000  0.000000000  0.000000000  0.650000000
  805.0  0.000000000  0.000000000  0.000000000  0.650000000
  810.0  0.000000000  0.000000000  0.000000000  0.650000000
  815.0  0.000000000  0.000000000  0.000000000  0.650000000
  820.0  0.000000000  0.000000000  0.000000000  0.650000000
  825.0  0.000000000  0.000000000  0.000000000  0.650000000
  830.0  0.000000000  0.000000000  0.000000000  0.650000000
  835.0  0.000000000  0.000000000  0.000000000  0.650000000
  840.0  0.000000000  0.000000000  0.000000000  0.650000000
  845.0  0.000000000  0.000000000  0.000000000  0.650000000
  850.0  0.000000000  0.000000000  0.000000000  0.650000000
  855.0  0.000000000  0.000000000  0.000000000  0.650000000
  860.0  0.000000000  0.000000000  0.000000000  0.650000000
  865.0  0.000000000  0.000000000  0.000000000  0.650000000
  870.0  0.000000000  0.000000000  0.000000000  0.650000000
  875.0  0.000000000  0.000000000  0.000000000  0.650000000
  880.0  0.000000000  0.000000000  0.000000000  0.650000000
  885.0  0.000000000  0.000000000  0.000000000  0.650000000
  890.0  0.000000000  0.000000000  0.000000000  0.650000000
  895.0  0.000000000  0.000000000  0.000000000  0.650000000
  900.0  0.000000000  0.000000000  0.000000000  0.650000000
  905.0  0.000000000  0.000000000  0.000000000  0.650000000
  910.0  0.000000000  0.000000000  0.000000000  0.650000000
  915.0  0.000000000  0.000000000  0.000000000  0.650000000
  920.0  0.000000000  0.000000000  0.000000000  0.650000000
  925.0  0.000000000  0.000000000  0.000000000  0.650000000
  930.0  0.000000000  0.000000000  0.000000000  0.650000000
  935.0  0.000000000  0.000000000  0.000000000  0.650000000
  940.0  0.000000000  0.000000000  0.000000000  0.650000000
  945.0  0.000000000  0.000000000  0.000000000  0.650000000
  950.0  0.000000000  0.000000000  0.000000000  0.650000000
  955.0  0.000000000  0.000000000  0.000000000  0.650000000
  960.0  0.000000000  0.000000000  0.000000000  0.650000000
  965.0  0.000000000  0.000000000  0.000000000  0.650000000
  970.0  0.000000000  0.000000000  0.000000000  0.650000000
  975.0  0.000000000  0.000000000  0.000000000  0.650000000
  980.0  0.000000000  0.000000000  0.000000000  0.650000000
  985.0  0.000000000  0.000000000  0.000000000  0.650000000
  990.0  0.000000000  0.000000000  0.000000000  0.650000000
  995.0  0.000000000  0.000000000  0.000000000  0.650000000
 1000.0  0.000000000  0.000000000  0.000000000  0.650000000
