vza,raa,julyOCRT_rrs0minus_I,julyOCRT_rrs0minus_Q,julyOCRT_rrs0minus_U,julyOCRT_Rrs0plus_I,julyOCRT_Rrs0plus_Q,julyOCRT_Rrs0plus_U,julyOSOAA_rrs0minus_I,julyOSOAA_rrs0minus_Q,julyOSOAA_rrs0minus_U,julyOSOAA_Rrs0plus_I,julyOSOAA_Rrs0plus_Q,julyOSOAA_Rrs0plus_U,curMoment_rrs0minus_I,curMoment_rrs0minus_Q,curMoment_rrs0minus_U,curMoment_Rrs0plus_I,curMoment_Rrs0plus_Q,curMoment_Rrs0plus_U,curDirect_rrs0minus_I,curDirect_rrs0minus_Q,curDirect_rrs0minus_U,curDirect_Rrs0plus_I,curDirect_Rrs0plus_Q,curDirect_Rrs0plus_U
0.0,150.0,2.6614704972e-02,-7.8179080870e-04,-1.3541014016e-03,1.4987685722e-02,-4.4025417352e-04,-7.6254259678e-04,2.6611918554e-02,-7.8625072017e-04,-1.3618271281e-03,1.4992852532e-02,-4.4282060692e-04,-7.6699105658e-04,2.6504675485e-02,-7.7913287455e-04,-1.3494977246e-03,1.4923236300e-02,-4.3868426168e-04,-7.5982342971e-04,2.6536924379e-02,7.8204842533e-03,-3.1021804174e-05,1.4942502591e-02,4.4035851535e-03,-1.7467864121e-05
0.0,165.0,2.6614704972e-02,-1.3541014016e-03,-7.8179080870e-04,1.4987685722e-02,-7.6254259678e-04,-4.4025417352e-04,2.6611918554e-02,-1.3618271281e-03,-7.8625072017e-04,1.4992852532e-02,-7.6699105658e-04,-4.4282060692e-04,2.6504675485e-02,-1.3494977246e-03,-7.7913287455e-04,1.4923236300e-02,-7.5982342971e-04,-4.3868426168e-04,2.6536924379e-02,7.8073728961e-03,-1.7910446990e-05,1.4942502591e-02,4.3962023655e-03,-1.0085076052e-05
0.0,180.0,2.6614704972e-02,-1.5635816174e-03,-7.6593408918e-19,1.4987685722e-02,-8.8050834704e-04,-4.3132469153e-19,2.6611918554e-02,-1.5725056828e-03,-3.8515242048e-19,1.4992852532e-02,-8.8564576832e-04,-2.1692028697e-19,2.6504675485e-02,-1.5582657491e-03,-7.6333006474e-19,1.4923236300e-02,-8.7736852336e-04,-4.2978662152e-19,2.6536924379e-02,7.8025738063e-03,-1.7547177263e-20,1.4942502591e-02,4.3935000775e-03,-9.8805248854e-21
5.0,0.0,2.6410869605e-02,-1.0696472446e-03,-3.1740023750e-19,1.4872740642e-02,-5.9869763359e-04,-1.7873922241e-19,2.6408710244e-02,-1.0804951213e-03,-3.1979628355e-19,1.4878095949e-02,-6.0497620674e-04,-1.8009707946e-19,2.6298140464e-02,-1.0658035713e-03,-3.1627946331e-19,1.4806790938e-02,-5.9644930453e-04,-1.7807838698e-19,2.6329108707e-02,-1.0696683676e-03,-3.1737029212e-19,1.4825326927e-02,-5.9866547996e-04,-1.7870582961e-19
5.0,15.0,2.6418677925e-02,-8.8003591162e-04,6.4384036392e-04,1.4877164046e-02,-4.9191974712e-04,3.6256912380e-04,2.6416530828e-02,-8.8965648217e-04,6.4876478040e-04,1.4882562867e-02,-4.9749795784e-04,3.6535556033e-04,2.6306096712e-02,-8.7686077824e-04,6.4157042685e-04,1.4811296801e-02,-4.9006561151e-04,3.6123062038e-04,2.6337078285e-02,-8.8009173101e-04,6.4378497728e-04,1.4829840718e-02,-4.9191698364e-04,3.6250440356e-04
5.0,30.0,2.6441824556e-02,-3.6459555630e-04,1.0908605767e-03,1.4890270124e-02,-2.0165396326e-04,6.1430190716e-04,2.6439650124e-02,-3.7083864422e-04,1.0995382973e-03,1.4895773808e-02,-2.0530053162e-04,6.1920595863e-04,2.6329542433e-02,-3.6322854093e-04,1.0870244646e-03,1.4824568844e-02,-2.0086621453e-04,6.1203962230e-04,2.6360681329e-02,-3.6472771357e-04,1.0908089568e-03,1.4843202572e-02,-2.0172096697e-04,6.1421602591e-04
5.0,45.0,2.6479415908e-02,3.3053401229e-04,1.1975361971e-03,1.4911535422e-02,1.8980313205e-04,6.7437469599e-04,2.6477192437e-02,3.2899836848e-04,1.2079070600e-03,1.4917165149e-02,1.8884720982e-04,6.8021075257e-04,2.6367427462e-02,3.2948680720e-04,1.1933313124e-03,1.4845995616e-02,1.8916636527e-04,6.7189476364e-04,2.6398975323e-02,3.3034758164e-04,1.1975550917e-03,1.4864861541e-02,1.8966946052e-04,6.7432296431e-04
5.0,60.0,2.6529802114e-02,1.0050851760e-03,9.1322416317e-04,1.4940003101e-02,5.6967357672e-04,5.1426860325e-04,2.6527782226e-02,1.0084254291e-03,9.2285276481e-04,1.4945769711e-02,5.7150169419e-04,5.1963297839e-04,2.6418562242e-02,1.0017145480e-03,9.0998751111e-04,1.4874879705e-02,5.6766541152e-04,5.1236051324e-04,2.6450220881e-02,1.0049080483e-03,9.1333890140e-04,1.4893810475e-02,5.6951012941e-04,5.1428564720e-04
5.0,75.0,2.6590437002e-02,1.4581443069e-03,2.9564150405e-04,1.4974211493e-02,8.2481549361e-04,1.6648611533e-04,2.6587290984e-02,1.4652914132e-03,3.0231122764e-04,1.4980455668e-02,8.2881992095e-04,1.7011041202e-04,2.6479647189e-02,1.4532194267e-03,2.9449827912e-04,1.4909335582e-02,8.2188975405e-04,1.6581468163e-04,2.6511835068e-02,1.4580416066e-03,2.9582685194e-04,1.4928567140e-02,8.2467049342e-04,1.6657508377e-04
5.0,90.0,2.6657825413e-02,1.5428236423e-03,-5.0224324634e-04,1.5012172005e-02,8.7251073752e-04,-2.8283081329e-04,2.6654501842e-02,1.5520324596e-03,-4.9992041158e-04,1.5018458529e-02,8.7750189440e-04,-2.8174651590e-04,2.6547887552e-02,1.5375876102e-03,-5.0068814862e-04,1.4947769407e-02,8.6940197443e-04,-2.8190808519e-04,2.6580233300e-02,1.5428210903e-03,-5.0204494340e-04,1.4967092768e-02,8.7241785784e-04,-2.8269299408e-04
