# He et al.(2018) 대비 PSSA 검증 v2.1 (2026-07-18)
# 비교 지표(Jae 확정): (SA-PP)/PP 비율 하나만 비교한다. 기저 레일리 반사도는 코드 간(연직 프로파일·층 구성·수치)
#   차이가 있으므로 비교 대상이 아니다. OCRT의 SA와 PP는 같은 코드로 계산하므로 코드 공통 요인은 비율에서 소거되고,
#   연직 프로파일 차이만 비율에 잔존한다.
# 비교 상한: 태양천정각 85도(논문의 비교 상한과 동일). 관측천정각 상한 80도(기존 규칙).
#
# [1차 근거 - 논문에 인쇄된 숫자만 사용, 디지타이징 없음]
# (i) 본문 서술값(412 nm 나디르): 75/80/85도 = 1.0 / 3 / 12 %
#     OCRT(nt400)         : 0.9682 / 2.8905 / 12.5076 %  -> 상대차 -3.2 / -3.6 / +4.2 %
# (ii) 색막대 최대 인쇄값(반구 최대; OCRT도 나디르가 반구 최대임을 격자에서 확인, 최대끼리 비교):
#     논문: 0.373 / 0.952 / 2.860 / 11.74 %  (70/75/80/85도)
#     OCRT: 0.3953 / 0.9682 / 2.8905 / 12.5076 %  -> 상대차 +6.0 / +1.7 / +1.1 / +6.5 %
# (iii) 태양각 간 스케일 인자(75/70, 80/75, 85/80):
#     논문 2.552 / 3.004 / 4.105  vs  OCRT 2.449 / 2.985 / 4.327  -> 차 -4.0 / -0.6 / +5.4 %
#     (캡션의 "패널 간 약 3배" 서술과도 부합)
# (iv) 443 nm: tau_R 일치(OCRT 0.23589 vs 논문 0.236). 그림 12(d)의 중심이 공유 눈금 최상단 밴드에 도달
#     -> 85도에서 443/412 비가 1 부근(tau 포화)임이 밴드 단위로 확인됨. OCRT 비: 0.741/0.800/0.879/0.972 (70~85도).
#
# [2차 근거 - 화소 디지타이징. 채움 밴드 양자화(판독 방식에 따라 밴드 5~20개)와 판독 요인으로
#  정밀도가 수 % 수준이라 보조 근거로만 둔다]
wavelength_nm,sza,paper_nadir_digitized_pct,paper_scale_max_pct,ocrt_nt40_pct,ocrt_nt400_pct,ocrt400_vs_digitized_rel_pct
412,70,0.371,0.373,0.4539,0.3953,+6.5
412,75,0.917,0.952,1.0980,0.9682,+5.6
412,80,2.852,2.860,3.2365,2.8905,+1.4
412,85,11.366,11.740,13.7956,12.5076,+10.0
443,70,0.279,,0.3351,0.2929,+5.0
443,75,0.753,,0.8699,0.7749,+2.9
443,80,2.534,,2.7953,2.5399,+0.2
443,85,11.686,,13.0784,12.1549,+4.0
